timestamp,application_id,correlation_id,layer,error_code,recovered
2025-05-12T10:59:02.120000Z,cap-app-0228,cap-corr-0228,journey,IDENTITY_NOT_COMPLETED,false
2025-05-12T13:49:00.350000Z,cap-app-0238,cap-corr-0238-p,api,PREFILL_RETRY,true
2025-05-13T10:42:02.050000Z,cap-app-0247,cap-corr-0247,journey,IDENTITY_NOT_COMPLETED,false
2025-05-13T12:58:00.350000Z,cap-app-0255,cap-corr-0255-p,api,PREFILL_RETRY,true
2025-05-14T10:25:01.980000Z,cap-app-0266,cap-corr-0266,journey,IDENTITY_NOT_COMPLETED,false
2025-05-14T12:07:00.350000Z,cap-app-0272,cap-corr-0272-p,api,PREFILL_RETRY,true
2025-05-15T09:34:04.740000Z,cap-app-0283,cap-corr-0283,integration,IDENTITY_TIMEOUT,false
2025-05-15T10:08:02.155000Z,cap-app-0285,cap-corr-0285,journey,IDENTITY_NOT_COMPLETED,false
2025-05-15T10:59:04.500000Z,cap-app-0288,cap-corr-0288,integration,IDENTITY_TIMEOUT,false
2025-05-15T11:16:00.350000Z,cap-app-0289,cap-corr-0289-p,api,PREFILL_RETRY,true
2025-05-16T09:17:04.980000Z,cap-app-0302,cap-corr-0302,integration,IDENTITY_TIMEOUT,false
2025-05-16T09:51:02.085000Z,cap-app-0304,cap-corr-0304,journey,IDENTITY_NOT_COMPLETED,false
2025-05-16T10:08:02.120000Z,cap-app-0305,cap-corr-0305,journey,IDENTITY_NOT_COMPLETED,false
2025-05-16T10:25:00.350000Z,cap-app-0306,cap-corr-0306-p,api,PREFILL_RETRY,true
2025-05-16T10:42:04.740000Z,cap-app-0307,cap-corr-0307,integration,IDENTITY_TIMEOUT,false
2025-05-16T12:07:04.500000Z,cap-app-0312,cap-corr-0312,integration,IDENTITY_TIMEOUT,false
2025-05-17T09:00:04.580000Z,cap-app-0321,cap-corr-0321,integration,IDENTITY_TIMEOUT,false
2025-05-17T09:34:00.350000Z,cap-app-0323,cap-corr-0323-p,api,PREFILL_RETRY,true
2025-05-17T09:34:02.015000Z,cap-app-0323,cap-corr-0323,journey,IDENTITY_NOT_COMPLETED,false
2025-05-17T10:08:02.085000Z,cap-app-0325,cap-corr-0325,journey,IDENTITY_NOT_COMPLETED,false
2025-05-17T10:25:04.980000Z,cap-app-0326,cap-corr-0326,integration,IDENTITY_TIMEOUT,false
2025-05-17T11:50:04.740000Z,cap-app-0331,cap-corr-0331,integration,IDENTITY_TIMEOUT,false
2025-05-17T14:23:00.350000Z,cap-app-0340,cap-corr-0340-p,api,PREFILL_RETRY,true
2025-05-18T09:17:02.190000Z,cap-app-0342,cap-corr-0342,journey,IDENTITY_NOT_COMPLETED,false
2025-05-18T10:08:04.580000Z,cap-app-0345,cap-corr-0345,integration,IDENTITY_TIMEOUT,false
2025-05-18T11:33:04.980000Z,cap-app-0350,cap-corr-0350,integration,IDENTITY_TIMEOUT,false
2025-05-18T13:32:00.350000Z,cap-app-0357,cap-corr-0357-p,api,PREFILL_RETRY,true
2025-05-19T09:00:02.120000Z,cap-app-0361,cap-corr-0361,journey,IDENTITY_NOT_COMPLETED,false
2025-05-19T09:51:04.820000Z,cap-app-0364,cap-corr-0364,integration,IDENTITY_TIMEOUT,false
2025-05-19T10:08:05.100000Z,cap-app-0365,cap-corr-0365,journey,IDENTITY_NOT_COMPLETED,false
2025-05-19T11:16:04.580000Z,cap-app-0369,cap-corr-0369,integration,IDENTITY_TIMEOUT,false
2025-05-19T12:41:00.350000Z,cap-app-0374,cap-corr-0374-p,api,PREFILL_RETRY,true
2025-05-19T14:23:02.050000Z,cap-app-0380,cap-corr-0380,journey,IDENTITY_NOT_COMPLETED,false
2025-05-20T09:34:05.060000Z,cap-app-0383,cap-corr-0383,integration,IDENTITY_TIMEOUT,false
2025-05-20T10:08:01.980000Z,cap-app-0385,cap-corr-0385,journey,IDENTITY_NOT_COMPLETED,false
2025-05-20T10:59:04.820000Z,cap-app-0388,cap-corr-0388,integration,IDENTITY_TIMEOUT,false
2025-05-20T11:50:00.350000Z,cap-app-0391,cap-corr-0391-p,api,PREFILL_RETRY,true
2025-05-20T14:06:01.980000Z,cap-app-0399,cap-corr-0399,journey,IDENTITY_NOT_COMPLETED,false
2025-05-21T09:17:04.660000Z,cap-app-0402,cap-corr-0402,integration,IDENTITY_TIMEOUT,false
2025-05-21T10:08:02.190000Z,cap-app-0405,cap-corr-0405,journey,IDENTITY_NOT_COMPLETED,false
2025-05-21T10:42:05.060000Z,cap-app-0407,cap-corr-0407,integration,IDENTITY_TIMEOUT,false
2025-05-21T10:59:00.350000Z,cap-app-0408,cap-corr-0408-p,api,PREFILL_RETRY,true
2025-05-21T12:07:04.820000Z,cap-app-0412,cap-corr-0412,integration,IDENTITY_TIMEOUT,false
2025-05-21T13:49:02.155000Z,cap-app-0418,cap-corr-0418,journey,IDENTITY_NOT_COMPLETED,false
2025-05-22T09:00:04.900000Z,cap-app-0421,cap-corr-0421,integration,IDENTITY_TIMEOUT,false
2025-05-22T10:08:00.350000Z,cap-app-0425,cap-corr-0425-p,api,PREFILL_RETRY,true
2025-05-22T10:08:02.155000Z,cap-app-0425,cap-corr-0425,journey,IDENTITY_NOT_COMPLETED,false
2025-05-22T10:25:04.660000Z,cap-app-0426,cap-corr-0426,integration,IDENTITY_TIMEOUT,false
2025-05-22T11:50:05.060000Z,cap-app-0431,cap-corr-0431,integration,IDENTITY_TIMEOUT,false
2025-05-22T13:32:02.085000Z,cap-app-0437,cap-corr-0437,journey,IDENTITY_NOT_COMPLETED,false
2025-05-23T09:17:00.350000Z,cap-app-0442,cap-corr-0442-p,api,PREFILL_RETRY,true
2025-05-23T10:08:04.900000Z,cap-app-0445,cap-corr-0445,integration,IDENTITY_TIMEOUT,false
2025-05-23T11:33:04.660000Z,cap-app-0450,cap-corr-0450,integration,IDENTITY_TIMEOUT,false
2025-05-23T13:15:02.015000Z,cap-app-0456,cap-corr-0456,journey,IDENTITY_NOT_COMPLETED,false
2025-05-23T14:06:00.350000Z,cap-app-0459,cap-corr-0459-p,api,PREFILL_RETRY,true
2025-05-24T09:51:04.500000Z,cap-app-0464,cap-corr-0464,integration,IDENTITY_TIMEOUT,false
2025-05-24T10:08:04.780000Z,cap-app-0465,cap-corr-0465,journey,IDENTITY_NOT_COMPLETED,false
2025-05-24T11:16:04.900000Z,cap-app-0469,cap-corr-0469,integration,IDENTITY_TIMEOUT,false
2025-05-24T12:58:02.190000Z,cap-app-0475,cap-corr-0475,journey,IDENTITY_NOT_COMPLETED,false
2025-05-24T13:15:00.350000Z,cap-app-0476,cap-corr-0476-p,api,PREFILL_RETRY,true
2025-05-25T09:34:04.740000Z,cap-app-0483,cap-corr-0483,integration,IDENTITY_TIMEOUT,false
2025-05-25T10:08:02.050000Z,cap-app-0485,cap-corr-0485,journey,IDENTITY_NOT_COMPLETED,false
2025-05-25T10:59:04.500000Z,cap-app-0488,cap-corr-0488,integration,IDENTITY_TIMEOUT,false
2025-05-25T12:24:00.350000Z,cap-app-0493,cap-corr-0493-p,api,PREFILL_RETRY,true
2025-05-25T12:41:02.120000Z,cap-app-0494,cap-corr-0494,journey,IDENTITY_NOT_COMPLETED,false
2025-05-26T09:17:04.980000Z,cap-app-0502,cap-corr-0502,integration,IDENTITY_TIMEOUT,false
2025-05-26T10:08:02.015000Z,cap-app-0505,cap-corr-0505,journey,IDENTITY_NOT_COMPLETED,false
2025-05-26T10:42:04.740000Z,cap-app-0507,cap-corr-0507,integration,IDENTITY_TIMEOUT,false
2025-05-26T11:33:00.350000Z,cap-app-0510,cap-corr-0510-p,api,PREFILL_RETRY,true
2025-05-26T12:07:04.500000Z,cap-app-0512,cap-corr-0512,integration,IDENTITY_TIMEOUT,false
2025-05-26T12:24:02.050000Z,cap-app-0513,cap-corr-0513,journey,IDENTITY_NOT_COMPLETED,false
2025-05-27T09:00:04.580000Z,cap-app-0521,cap-corr-0521,integration,IDENTITY_TIMEOUT,false
2025-05-27T10:08:01.980000Z,cap-app-0525,cap-corr-0525,journey,IDENTITY_NOT_COMPLETED,false
2025-05-27T10:25:04.980000Z,cap-app-0526,cap-corr-0526,integration,IDENTITY_TIMEOUT,false
2025-05-27T10:42:00.350000Z,cap-app-0527,cap-corr-0527-p,api,PREFILL_RETRY,true
2025-05-27T11:50:04.740000Z,cap-app-0531,cap-corr-0531,integration,IDENTITY_TIMEOUT,false
2025-05-27T12:07:05.020000Z,cap-app-0532,cap-corr-0532,journey,IDENTITY_NOT_COMPLETED,false
2025-05-28T09:51:00.350000Z,cap-app-0544,cap-corr-0544-p,api,PREFILL_RETRY,true
2025-05-28T10:08:04.580000Z,cap-app-0545,cap-corr-0545,integration,IDENTITY_TIMEOUT,false
2025-05-28T11:33:04.980000Z,cap-app-0550,cap-corr-0550,integration,IDENTITY_TIMEOUT,false
2025-05-28T11:50:05.260000Z,cap-app-0551,cap-corr-0551,journey,IDENTITY_NOT_COMPLETED,false
